"","ID","Zone","Level","Region","Ubication","Employees","Taxes","Years","NIh","Nig","Income"
"1","AB0000000621","County17","Small",1,"C0076312K0225585",57,1,15.3,25,962,196
"2","AB0000000633","County17","Small",1,"C0087763K0214134",22,1,32.5,25,962,210
"3","AB0000000638","County17","Small",1,"C0146156K0155741",30,0.5,47.3,25,962,130
"4","AB0000000672","County17","Small",1,"C0283482K0018415",44,1,13.3,25,962,165
"5","AB0000000688","County17","Small",1,"C0068938K0232959",8,1,15.5,25,962,181
"6","AB0000000697","County17","Small",1,"C0234059K0067838",74,0.5,37.6,25,962,131
"7","AB0000000699","County17","Small",1,"C0185813K0116084",83,1,47.5,25,962,150
"8","AB0000000700","County17","Small",1,"C0023929K0277968",20,1,31.3,25,962,176
"9","AB0000000716","County17","Small",1,"C0261391K0040506",23,0.5,14.6,25,962,136
"10","AB0000000722","County17","Small",1,"C0048050K0253847",21,1,13.9,25,962,197
"11","AB0000000733","County17","Small",1,"C0088825K0213072",73,8,39.5,25,962,430
"12","AB0000000746","County17","Small",1,"C0031177K0270720",59,0.5,26.9,25,962,141
"13","AB0000000762","County17","Small",1,"C0016064K0285833",17,6,45.2,25,962,370
"14","AB0000000770","County17","Small",1,"C0148612K0153285",58,9,6.2,25,962,450
"15","AB0000000779","County17","Small",1,"C0174313K0127584",92,7,29.4,25,962,420
"16","AB0000000849","County17","Small",1,"C0280292K0021605",29,8,20.3,25,962,420
"17","AB0000000895","County17","Small",1,"C0050360K0251537",96,7,41.3,25,962,410
"18","AB0000000912","County17","Small",1,"C0106655K0195242",76,8,3.1,25,962,420
"19","AB0000000933","County17","Small",1,"C0019896K0282001",102,10.5,46.9,25,962,494
"20","AB0000000939","County17","Small",1,"C0185630K0116267",82,4,20.3,25,962,308
"21","AB0000000941","County17","Small",1,"C0296370K0005527",92,7,28.2,25,962,416
"22","AB0000000955","County17","Small",1,"C0174815K0127082",26,9,1.8,25,962,450
"23","AB0000000973","County17","Small",1,"C0168934K0132963",21,10,33.9,25,962,480
"24","AB0000000980","County17","Small",1,"C0232527K0069370",65,10,35.4,25,962,475
"25","AB0000000993","County17","Small",1,"C0281478K0020419",63,7,22.6,25,962,398
"26","AB0000001013","County17","Small",1,"C0049905K0251992",46,6,44.3,25,962,370
"27","AB0000001017","County17","Small",1,"C0019008K0282889",101,8,38.3,25,962,430
"28","AB0000001020","County17","Small",1,"C0210052K0091845",3,0.5,5.4,25,962,139
"29","AB0000001026","County17","Small",1,"C0168477K0133420",69,6,37.4,25,962,366
"30","AB0000001043","County17","Small",1,"C0157737K0144160",32,10,17.1,25,962,466
"31","AB0000001065","County17","Small",1,"C0232564K0069333",17,6,42.4,25,962,368
"32","AB0000001124","County17","Small",1,"C0061566K0240331",31,4,4.8,25,962,324
"33","AB0000001232","County17","Small",1,"C0095110K0206787",75,1,33.7,25,962,154
"34","AB0000001251","County17","Small",1,"C0085804K0216093",70,0.5,26.7,25,962,112
"35","AB0000001261","County17","Small",1,"C0232558K0069339",13,0.5,24.9,25,962,52
"36","AB0000001283","County17","Small",1,"C0044945K0256952",7,0.5,10,25,962,149
"37","AB0000001289","County17","Small",1,"C0221944K0079953",10,0.5,22.5,25,962,120
"38","AB0000001348","County17","Small",1,"C0081129K0220768",83,0.5,33.8,25,962,148
"39","AB0000001364","County17","Small",1,"C0237585K0064312",38,1,33.8,25,962,214
"40","AB0000001393","County17","Small",1,"C0017611K0284286",62,0.5,19.6,25,962,113
"41","AB0000001423","County17","Small",1,"C0047072K0254825",74,2,41.6,25,962,220
"42","AB0000001428","County17","Small",1,"C0296852K0005045",41,1,41.2,25,962,197
"43","AB0000001432","County17","Small",1,"C0287433K0014464",56,2,38.7,25,962,262
"44","AB0000001436","County17","Small",1,"C0209198K0092699",80,2,18.5,25,962,260
"45","AB0000001471","County17","Small",1,"C0283353K0018544",35,2,17.3,25,962,246
"46","AB0000001505","County17","Small",1,"C0280271K0021626",24,3,21.4,25,962,263
"47","AB0000001533","County17","Small",1,"C0196643K0105254",35,2,7.4,25,962,236
"48","AB0000001537","County17","Small",1,"C0146986K0154911",18,2,9.4,25,962,220
"49","AB0000001552","County17","Small",1,"C0150221K0151676",89,10,29.9,25,962,480
"50","AB0000001571","County17","Small",1,"C0039800K0262097",84,10,35.2,25,962,470
"51","AB0000001574","County17","Small",1,"C0047671K0254226",32,10,1.1,25,962,470
"52","AB0000001579","County17","Medium",1,"C0294515K0007382",92,14,26.6,25,492,556
"53","AB0000001587","County17","Medium",1,"C0155805K0146092",90,27,17.5,25,492,741
"54","AB0000001599","County17","Medium",1,"C0299086K0002811",124,23,46,25,492,680
"55","AB0000001636","County17","Medium",1,"C0242726K0059171",36,18,28.7,25,492,600
"56","AB0000001644","County17","Medium",1,"C0169893K0132004",110,22,34.5,25,492,664
"57","AB0000001649","County17","Medium",1,"C0084263K0217634",97,33,6,25,492,810
"58","AB0000001671","County17","Medium",1,"C0140900K0160997",126,27,16.2,25,492,740
"59","AB0000001682","County17","Medium",1,"C0096364K0205533",62,16,10.6,25,492,580
"60","AB0000001684","County17","Medium",1,"C0276033K0025864",110,16,3.8,25,492,584
"61","AB0000001695","County17","Medium",1,"C0061472K0240425",139,38,33.9,25,492,870
"62","AB0000001766","County17","Medium",1,"C0015719K0286178",48,18,12.6,25,492,600
"63","AB0000001790","County17","Medium",1,"C0083434K0218463",97,13,34.5,25,492,530
"64","AB0000001800","County17","Medium",1,"C0054806K0247091",84,38,5.8,25,492,880
"65","AB0000001812","County17","Medium",1,"C0194785K0107112",108,39,21.4,25,492,887
"66","AB0000001836","County17","Medium",1,"C0095347K0206550",60,39,11.7,25,492,890
"67","AB0000001844","County17","Medium",1,"C0180993K0120904",68,15,29.4,25,492,567
"68","AB0000001896","County17","Medium",1,"C0270616K0031281",69,13,28.2,25,492,530
"69","AB0000001936","County17","Medium",1,"C0201898K0099999",27,12,47.6,25,492,503
"70","AB0000001938","County17","Medium",1,"C0032123K0269774",57,13,9.6,25,492,529
"71","AB0000001977","County17","Medium",1,"C0177651K0124246",73,15,1.6,25,492,570
"72","AB0000002000","County17","Medium",1,"C0105783K0196114",122,24,46.4,25,492,700
"73","AB0000002008","County17","Medium",1,"C0102657K0199240",103,25,21.5,25,492,710
"74","AB0000002011","County17","Medium",1,"C0024342K0277555",95,34,42.4,25,492,828
"75","AB0000002022","County17","Medium",1,"C0060273K0241624",106,14,44,25,492,540
"76","AB0000002035","County17","Medium",1,"C0017336K0284561",92,26,14.7,25,492,720
"77","AB0000002055","County17","Medium",1,"C0068944K0232953",95,28,45.8,25,492,750
"78","AB0000002064","County17","Medium",1,"C0150104K0151793",117,24,37.6,25,492,690
"79","AB0000002074","County99","Medium",4,"C0234150K0067747",75,20,6.7,25,245,630
"80","AB0000002075","County99","Medium",4,"C0218024K0083873",71,20,22.1,25,245,630
"81","AB0000002085","County99","Medium",4,"C0230057K0071840",94,27,34.5,25,245,740
"82","AB0000002093","County99","Medium",4,"C0157866K0144031",84,23,27.2,25,245,680
"83","AB0000002097","County99","Medium",4,"C0154471K0147426",123,34,18.5,25,245,830
"84","AB0000002122","County99","Medium",4,"C0096144K0205753",55,14,42.3,25,245,550
"85","AB0000002176","County99","Medium",4,"C0047883K0254014",70,13,2.3,25,245,540
"86","AB0000002178","County99","Medium",4,"C0169512K0132385",39,16,41,25,245,586
"87","AB0000002219","County99","Medium",4,"C0020027K0281870",82,13,25.7,25,245,540
"88","AB0000002239","County99","Medium",4,"C0041399K0260498",71,17,47.2,25,245,595
"89","AB0000002243","County99","Medium",4,"C0284104K0017793",52,15,18.4,25,245,560
"90","AB0000002254","County99","Medium",4,"C0047426K0254471",137,35,37.8,25,245,841
"91","AB0000002281","County99","Medium",4,"C0233103K0068794",51,17,2.2,25,245,591
"92","AB0000002289","County99","Medium",4,"C0225287K0076610",112,40,6.2,25,245,892
"93","AB0000002311","County99","Medium",4,"C0023119K0278778",75,16,24.5,25,245,590
"94","AB0000002322","County99","Big",4,"C0073841K0228056",82,61,4.1,25,83,1130
"95","AB0000002331","County99","Big",4,"C0277677K0024220",137,55,37.4,25,83,1090
"96","AB0000002359","County99","Big",4,"C0233149K0068748",111,83,47.7,25,83,1405
"97","AB0000002374","County99","Big",4,"C0231411K0070486",132,50,37.6,25,83,1010
"98","AB0000002379","County99","Big",4,"C0189410K0112487",92,54,17.3,25,83,1084
"99","AB0000002392","County99","Big",4,"C0296062K0005835",89,50,17.6,25,83,1020
"100","AB0000002396","County99","Big",4,"C0155539K0146358",253,176,28.5,25,83,1860
"101","AB0000002402","County99","Small",4,"C0137367K0164530",89,3,36.7,25,118,296
"102","AB0000002424","County99","Small",4,"C0094851K0207046",86,9,49,25,118,450
"103","AB0000002451","County99","Small",4,"C0093476K0208421",76,5,20.5,25,118,345
"104","AB0000002457","County99","Small",4,"C0179608K0122289",76,5,8.6,25,118,350
"105","AB0000002474","County99","Small",4,"C0034142K0267755",10,1,35.5,25,118,210
"106","AB0000002475","County99","Small",4,"C0285964K0015933",74,4,25.2,25,118,304
"107","AB0000002476","County99","Small",4,"C0235843K0066054",79,7,24.8,25,118,401
"108","AB0000002490","County99","Small",4,"C0108970K0192927",32,10,1.1,25,118,470
"109","AB0000004488","County19","Medium",1,"C0089930K0211967",73,15,10.1,25,247,570
"110","AB0000004490","County19","Medium",1,"C0005611K0296286",30,16,4,25,247,584
"111","AB0000004502","County19","Medium",1,"C0209380K0092517",111,19,27.9,25,247,620
"112","AB0000004520","County19","Medium",1,"C0248218K0053679",54,16,35.2,25,247,580
"113","AB0000004532","County19","Medium",1,"C0115730K0186167",102,31,40.6,25,247,790
"114","AB0000004534","County19","Medium",1,"C0272805K0029092",97,47,22.6,25,247,990
"115","AB0000004541","County19","Medium",1,"C0165113K0136784",120,38,10.5,25,247,880
"116","AB0000004545","County19","Medium",1,"C0048485K0253412",33,18,14.2,25,247,601
